,aveETAS,aveNN,true,NNLL,NNLLtemp,NNLLmark,ETASLL,ETASLLtemp,ETASLLmark
0,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
1,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
2,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
3,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
4,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
5,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
6,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
7,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
8,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
9,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
10,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
11,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
12,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
13,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
14,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
15,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
16,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
17,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
18,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
19,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
20,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
21,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
22,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
23,0.0,0.0,0.0,1.325925,1.654507206542606,-0.1486789,-1.0877855890818635,1.834476452370648,-2.7423587262825824
