,time,mw
0,12.950119814328703,4.503942947419683
1,13.397026220324074,4.202374211415581
2,13.556155685324073,3.794867424653864
3,34.68024985564815,4.2651795844128655
4,59.901827189224534,4.1674149770545466
5,63.76899343541667,3.9709698688154926
6,85.10447699921296,3.657683139361591
7,127.36419187538195,3.90180896774594
8,215.07328612119213,3.621340674050241
9,268.67964879532406,3.678425406549712
10,270.05145849631947,4.550808030290988
11,294.42170994497684,3.707494493268011
12,295.26727617497687,3.9245844439610336
13,308.6873412836574,3.505601124457076
14,419.0199449167361,4.034777806828387
15,428.92802837149304,3.620187331207852
16,445.7485268895949,3.64523096549368
17,492.2173602843866,4.633079911002671
18,493.9735838139583,3.6544353767641775
19,509.4401671413773,3.8579646863033616
20,510.22527796009257,3.609133450306893
21,520.8051564691203,3.686384617601494
22,522.0676205002314,3.6020643232339
23,552.6004426713195,3.680906982710309
24,555.9699703243172,4.492966960375494
25,572.8587101443982,4.796515263381631
26,578.9596538043982,3.5447176201736053
27,592.5357528434143,3.529538241304613
28,613.0423260239584,3.8622993462329167
29,613.3367669810532,3.59740854436121
30,629.7551222497107,4.696438862037934
31,638.6184229893635,3.6251331106923943
32,664.6580197023611,3.519531173907792
33,665.4637078129051,3.685861670582113
34,711.5778555914699,3.847587420075612
35,712.7519988094098,3.8861686255096375
36,738.136109819051,4.153957174545551
37,738.1771728070486,3.609501819144113
38,740.3151880924653,3.6512772456350175
39,774.7934846511226,3.829544221825871
40,781.6522147721181,3.562790928069425
41,832.7262653583912,3.6878621377484073
42,857.6180273924768,3.6811025186430335
43,861.1492745850231,3.6437177230468976
44,883.2171777357175,3.791688821433444
45,893.3432685704051,4.872372676254285
46,896.4991042615973,3.897543253527084
47,917.0395221878241,5.978626945281992
48,917.1746645358218,3.9406529119948384
49,926.2525854078588,3.52864502810778
50,926.4247323958565,3.914349815049196
51,937.7875838418519,3.974202994367281
52,957.2780412655903,3.7517295477616073
53,968.0089565198842,3.871970674029662
54,974.7702529183102,3.504019960646252
55,990.7052145970487,3.791801331327849
56,1026.7326968277778,4.087224261974556
57,1089.495525202986,3.5365238583097627
58,1117.6195749249189,4.812094569614269
59,1134.0199255159607,3.770283653892549
60,1149.6389140341782,3.607247282356486
61,1161.0336930537617,3.972957851070928
62,1173.2902000003126,3.795207250920536
63,1179.2264969765624,3.636125815938815
64,1183.6743806584143,3.6628979655276033
65,1184.1324090044097,3.7233664307433134
66,1242.2433933746875,4.133781296599814
67,1264.6498342282755,3.571307641054639
68,1268.1441232351735,3.968212064001995
69,1270.6252641230788,3.763157994902573
70,1275.4015655538078,4.047449232576906
71,1289.343363283449,3.774556927201909
72,1296.9713087552084,4.007735375819336
